"Unit ID","Create Date","Resolve Date","Client Global Sales Region","Inquiry Rep Desc","Inquiry Rep Team Desc","Inquiry Status","Inquiry Action",Product
1257514308,1/6/2023,1/6/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1257526671,1/6/2023,2/8/2023,EMEA,"Carlton Banks","E TRADING",R,Handled,FMSX
1257603360,1/9/2023,1/9/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,CTCA
1257605095,1/9/2023,1/9/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1257601561,1/9/2023,1/12/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1257613186,1/9/2023,1/9/2023,EMEA,"Carlton Banks","E TRADING",R,Handled,Book
1257730481,1/10/2023,2/6/2023,AMER,"Michael Scott","ETSVC_AMER_E TRADING & REGULATORY",R,Handled,FI
1257704907,1/10/2023,1/12/2023,EMEA,"JOHN SNOW",BUYSIDE,R,Handled,BIM
1257689368,1/10/2023,2/7/2023,EMEA,"JOHN SNOW",BUYSIDE,R,Handled,BIM
1257681367,1/10/2023,1/13/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1257763221,1/11/2023,1/20/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1257772322,1/11/2023,1/19/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1257773178,1/11/2023,1/11/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1257770547,1/11/2023,1/12/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1257864901,1/12/2023,2/10/2023,AMER,"Michael Scott","ETSVC_AMER_E TRADING & REGULATORY",R,Handled,CTCA
1257847148,1/12/2023,1/13/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1257885460,1/12/2023,1/13/2023,EMEA,"JOHN SNOW",BUYSIDE,R,Handled,QORT
1257880102,1/12/2023,1/23/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1257869428,1/12/2023,2/20/2023,EMEA,DELETE,SELLSIDE,R,Handled,Research
1257839574,1/12/2023,1/16/2023,EMEA,"HARRY POTTER",SELLSIDE,R,Handled,UOMS
1257941988,1/13/2023,1/17/2023,EMEA,"DAENERYS TARGERYEN",BUYSIDE,R,Handled,BIM
1257920891,1/13/2023,1/18/2023,EMEA,"BUGS BUNNY",BUYSIDE,R,Handled,BIM
1257930935,1/13/2023,1/13/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1257934019,1/13/2023,1/18/2023,EMEA,"Carlton Banks","E TRADING",R,Handled,FMSX
1257953662,1/13/2023,1/19/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,FUOMS
1258018103,1/16/2023,1/16/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258022606,1/16/2023,1/23/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258008785,1/16/2023,1/16/2023,EMEA,DELETE,"E TRADING",R,Handled,CTCA
1258053574,1/17/2023,1/19/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,QORT
1258087381,1/17/2023,1/24/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,CTCA
1258094304,1/17/2023,2/13/2023,EMEA,"HARRY POTTER",SELLSIDE,R,Handled,FUOMS
1258162818,1/18/2023,1/18/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1258144761,1/18/2023,1/20/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258146895,1/18/2023,1/20/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258175055,1/18/2023,1/18/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258180248,1/18/2023,1/19/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258159012,1/18/2023,1/18/2023,EMEA,"Carlton Banks","E TRADING",R,Handled,Book
1258154399,1/18/2023,1/18/2023,EMEA,"Carlton Banks","E TRADING",R,Handled,Book
1258210120,1/19/2023,1/25/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,QORT
1258233842,1/19/2023,1/23/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,CTCA
1258233280,1/19/2023,2/1/2023,EMEA,"Carlton Banks","E TRADING",R,Handled,Book
1258230642,1/19/2023,1/19/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1258238641,1/19/2023,1/19/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258241388,1/19/2023,1/19/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258236805,1/19/2023,1/19/2023,EMEA,"Tina Belcher","E TRADING",R,Handled,FX
1258256858,1/19/2023,1/19/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,FUOMS
1258256955,1/19/2023,1/19/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,FUOMS
1258249575,1/19/2023,2/8/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,UOMS
1258257067,1/19/2023,1/19/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,FUOMS
1258257123,1/19/2023,1/19/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,FUOMS
1258315699,1/20/2023,1/20/2023,AMER,"Michael Scott","ETSVC_AMER_E TRADING & REGULATORY",R,Handled,FMSX
1258282488,1/20/2023,1/27/2023,EMEA,"JOHN SNOW",BUYSIDE,R,Handled,BIM
1258333435,1/20/2023,1/23/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258294929,1/20/2023,4/27/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258299429,1/20/2023,1/20/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1258300531,1/20/2023,1/24/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1258300654,1/20/2023,1/24/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1258296350,1/20/2023,1/23/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1258322254,1/20/2023,1/23/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1258369141,1/23/2023,1/23/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1258376897,1/23/2023,1/23/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258383996,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258385323,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258386519,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258390820,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258396455,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258398530,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258406507,1/23/2023,1/24/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1258434010,1/24/2023,2/10/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
